source_csv,model,target,model_name,n_train,n_test,rmse,mae,r2,source_type,lag,threshold,rmse_levels,mae_levels,r2_levels
ecowas_df_full_lag_one.csv,MLP,tradeflow_baci,total_conflicts,2850,618,1.9339602905593012,1.376232717767956,0.6675573073548411,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,MLP,tradeflow_comtrade_d,fatalities,2342,466,1.9311815499705445,1.3438658519452098,0.6652059630531488,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,MLP,tradeflow_comtrade_o,total_conflicts,2308,476,1.802347467479408,1.2686705191036816,0.6901028593671076,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,MLP,tradeflow_imf_d,total_conflicts + fatalities,2800,637,1.8713891681676385,1.2811825680429991,0.6539112485531362,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,MLP,tradeflow_imf_o,disorder,2689,613,2.0785003820338077,1.482028508157658,0.5930514826434717,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,OLS Linear FE,tradeflow_baci,disorder,2850,618,1.9114518610832616,1.4668442073786063,0.6752505560811886,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,OLS Linear FE,tradeflow_comtrade_d,disorder,2342,466,2.047893961693527,1.5606689206447066,0.623516074793045,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,OLS Linear FE,tradeflow_comtrade_o,fatalities,2308,476,1.812970257566649,1.371361787207327,0.6864391113375083,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,OLS Linear FE,tradeflow_imf_d,disorder,2800,637,2.0001078460289774,1.5504435597252424,0.6046642507441051,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,OLS Linear FE,tradeflow_imf_o,total_conflicts,2689,613,2.136845217840472,1.6015209042463217,0.5698842125567783,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,PPML FE,combined_trade_baci,disorder + target,3036,650,2.2844319743983204,1.618480482073066,0.4501552349490951,non-synthetic,1,,267047.3120843365,95726.928404781,0.3431670375408592
ecowas_df_full_lag_one.csv,PPML FE,tradeflow_baci,total_conflicts,2850,618,2.7877063311993537,2.0371978175096275,0.3092582144619756,non-synthetic,1,,192152.48218241532,64166.579465562136,0.2710661927837978
ecowas_df_full_lag_one.csv,PPML FE,tradeflow_comtrade_d,disorder,2342,466,2.625400643996161,1.9290095221474657,0.3812393575103028,non-synthetic,1,,106845.07430983556,48357.839465384524,0.4984150979132419
ecowas_df_full_lag_one.csv,PPML FE,tradeflow_comtrade_o,target,2308,476,2.453422027266699,1.7678134279933964,0.4257710973054837,non-synthetic,1,,210080.22319861336,66755.14840749979,0.279840015942826
ecowas_df_full_lag_one.csv,PPML FE,tradeflow_imf_d,target,2800,637,2.6194692663428336,1.943452078486368,0.321912285465867,non-synthetic,1,,106344.21739448748,47394.017063627616,0.5520272770166357
ecowas_df_full_lag_one.csv,PPML FE,tradeflow_imf_o,target,2689,613,2.8170579640886944,2.004016790297138,0.2524662252459851,non-synthetic,1,,165137.18345117467,63547.6079963125,0.3604689239788623
ecowas_df_full_lag_one.csv,Random Forest,tradeflow_baci,fatalities,2850,618,1.8549617376068777,1.2803512396115553,0.6941618924474655,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,Random Forest,tradeflow_comtrade_d,fatalities,2342,466,1.8627347976901476,1.26909044605566,0.6885175642025554,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,Random Forest,tradeflow_comtrade_o,fatalities,2308,476,1.694739755008644,1.1762759638316411,0.7260025239949237,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,Random Forest,tradeflow_imf_d,fatalities,2800,637,1.7365572349373457,1.204247401200964,0.7019854523499067,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,Random Forest,tradeflow_imf_o,total_conflicts,2689,613,1.7334343726698271,1.1954953013014982,0.7169559294839393,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,XGBoost,tradeflow_baci,perpetrator,2850,618,2.029073265189111,1.4269589151652182,0.6340538828591316,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,XGBoost,tradeflow_comtrade_d,perpetrator,2342,466,1.8979994816894843,1.3241861900148657,0.6766121597981445,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,XGBoost,tradeflow_comtrade_o,perpetrator,2308,476,1.8497705466615129,1.3023057427875917,0.6735803852593047,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,XGBoost,tradeflow_imf_d,target,2800,637,1.8308182219514904,1.281194793508599,0.6687547083784102,non-synthetic,1,,,,
ecowas_df_full_lag_one.csv,XGBoost,tradeflow_imf_o,event + target,2689,613,1.9242048454732303,1.3862388276806283,0.6512277997750957,non-synthetic,1,,,,
ecowas_df_full_lag_two.csv,MLP,tradeflow_baci,total_conflicts,2731,618,2.074488733024192,1.4628770800702309,0.6174890721410394,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,MLP,tradeflow_comtrade_d,total_conflicts,2224,466,1.8810641391716547,1.2839050656767028,0.6823574198984093,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,MLP,tradeflow_comtrade_o,total_conflicts,2186,476,1.7482920416049932,1.2192121740147073,0.7084127774956646,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,MLP,tradeflow_imf_d,fatalities,2659,637,1.7551352752334342,1.1925536009450082,0.6955749043971493,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,MLP,tradeflow_imf_o,disorder,2552,613,2.082816127977319,1.5490795825526564,0.5913597728100981,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,OLS Linear FE,tradeflow_baci,total_conflicts + fatalities,2731,618,1.913144150574361,1.463507911725337,0.6746752725898935,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,OLS Linear FE,tradeflow_comtrade_d,total_conflicts + fatalities,2224,466,2.0441769558411007,1.5523067804512654,0.6248814999601965,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,OLS Linear FE,tradeflow_comtrade_o,total_conflicts + fatalities,2186,476,1.810037970967004,1.3661415472327303,0.6874525938605076,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,OLS Linear FE,tradeflow_imf_d,fatalities,2659,637,2.000516191604272,1.5480089192286208,0.6045028093662606,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,OLS Linear FE,tradeflow_imf_o,total_conflicts + fatalities,2552,613,2.119853290768631,1.5806721615754096,0.5766974696953903,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,PPML FE,combined_trade_baci,target,2904,650,2.310423525260066,1.6391410030435811,0.4375721338482644,non-synthetic,2,,267531.729622463,99051.06296077347,0.3407819171594548
ecowas_df_full_lag_two.csv,PPML FE,tradeflow_baci,target,2731,618,2.802044890424613,2.0398269211109668,0.3021342838600978,non-synthetic,2,,186953.48804639385,62636.47044916784,0.3099775201839193
ecowas_df_full_lag_two.csv,PPML FE,tradeflow_comtrade_d,target,2224,466,2.626847309083056,1.9238592255055915,0.3805572627272365,non-synthetic,2,,99995.87715588912,45703.86882346117,0.5606611252425318
ecowas_df_full_lag_two.csv,PPML FE,tradeflow_comtrade_o,event,2186,476,2.524846482298377,1.834440818747408,0.3918503211963906,non-synthetic,2,,214495.08782757825,75260.96564938691,0.2492534462243161
ecowas_df_full_lag_two.csv,PPML FE,tradeflow_imf_d,target,2659,637,2.621363167932466,1.940043621612928,0.3209314030613063,non-synthetic,2,,105757.12961631354,47306.52548270758,0.556959813175826
ecowas_df_full_lag_two.csv,PPML FE,tradeflow_imf_o,total_conflicts,2552,613,2.8748184083866146,2.053641368320795,0.2214973639415063,non-synthetic,2,,187082.99455870347,73131.16752982234,0.1791939817461958
ecowas_df_full_lag_two.csv,Random Forest,tradeflow_baci,fatalities,2731,618,1.8763566633703868,1.2847604019572572,0.6870662000580451,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,Random Forest,tradeflow_comtrade_d,fatalities,2224,466,1.905137493190964,1.3025338931997108,0.6741751867975592,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,Random Forest,tradeflow_comtrade_o,fatalities,2186,476,1.6661566825350105,1.1506332191619897,0.7351669352211266,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,Random Forest,tradeflow_imf_d,fatalities,2659,637,1.7670220729905206,1.2204805341213956,0.6914374531572854,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,Random Forest,tradeflow_imf_o,fatalities,2552,613,1.7504109788873243,1.2086753996422095,0.7113847263129256,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,XGBoost,tradeflow_baci,fatalities,2731,618,2.047930095380198,1.4483159342618916,0.627220567787879,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,XGBoost,tradeflow_comtrade_d,target,2224,466,2.0250177809479943,1.4144246515519974,0.6318801903715772,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,XGBoost,tradeflow_comtrade_o,total_conflicts,2186,476,1.851328506525356,1.3289469331306685,0.6730303031740215,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,XGBoost,tradeflow_imf_d,event + target,2659,637,1.8317944887124011,1.295497696801307,0.6684013472585233,non-synthetic,2,,,,
ecowas_df_full_lag_two.csv,XGBoost,tradeflow_imf_o,event + target,2552,613,1.9458023377807536,1.3917318546391826,0.6433545441464159,non-synthetic,2,,,,
ecowas_df_full_lag_zero.csv,MLP,tradeflow_baci,fatalities,2892,618,1.99886658321269,1.4106975704191569,0.6448684137537725,non-synthetic,0,,,,
ecowas_df_full_lag_zero.csv,MLP,tradeflow_comtrade_d,total_conflicts + fatalities,2471,466,1.9433406860515627,1.3815404479752529,0.6609768199235964,non-synthetic,0,,,,
ecowas_df_full_lag_zero.csv,MLP,tradeflow_comtrade_o,fatalities,2429,476,1.7803021727264514,1.231714113605067,0.6976374693514704,non-synthetic,0,,,,
